Ticker,Price,Date,Div Yield,EPS,Total Assets,"Goodwill, Net","Intangibles, Net",Liabilities (Total),Shares (Total Common Outstanding),Book Value,P:Book,Tangable Book Value,P:Tangbook,Dividend Percent,20x EPS,15X EPS,Price/Earnings,Interest
MCD,320.30,10/14/24,$7.08 ,$11.8400 ,"$56,147 ","$3,040 ",$836 ,"$60,854 ", 723.00 ,($6.5104),-4919.84%,-$11.87,-2698.09%,2.21%,$236.80 ,$177.60 ,27.05 ,
MO,65.82,10/21/24,$4.80 ,$5.8000 ,"$38,570 ","$6,791 ","$13,686 ","$42,110 "," 1,763.00 ",($2.01),-3277.98%,-$13.62,-483.16%,7.29%,$116.00 ,$87.00 ,11.35 ,
SBUX,95.00,10/14/24,$2.28 ,$3.6000 ,"$29,446 ","$3,218 ","$1,229 ","$37,440 "," 1,143.00 ",($6.9939),-1358.33%,-$10.88,-872.80%,2.40%,$72.00 ,$54.00 ,26.39 ,
LOW,234.34,10/14/24,$4.60 ,$13.0900 ,"$41,795 ",$0 ,$0 ,"$56,845 ", 574.00 ,($26.2195),-893.76%,-$26.22,-893.76%,1.96%,$261.80 ,$196.35 ,17.90 ,
BRK.B,488.81,10/14/24,$0.00 ,"$66,411.9900 ","$1,069,978 ","$84,626 ","$52,846 ","$508,705 ", 1.45 ,"$387,084.8276 ",0.13%,"$292,276.55",0.17%,0.00%,"$1,328,239.80 ","$996,179.85 ",0.01 ,
NVDA,182.49,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00%,$0.00 ,$0.00 ,#DIV/0!,
HMC,25.16,10/14/24,$1.77 ,$1.4900 ,"$196,212 ",$0 ,"$6,588 ","$112,538 ", 451.00 ,$185.5299 ,13.56%,$170.92,14.72%,7.03%,$29.80 ,$22.35 ,16.89 ,
BGFV,#N/A,10/21/24,$0.20 ,($0.3300),$645 ,$0 ,$9 ,$400 , 22.00 ,$11.1364 ,#N/A,$10.73,#N/A,#N/A,($6.60),($4.95),#N/A,
CIM,13.24,10/22/24,$1.48 ,$1.7100 ,"$12,929 ",$0 ,$0 ,"$10,370 ", 80.00 ,$31.9875 ,41.39%,$31.99,41.39%,11.18%,$34.20 ,$25.65 ,7.74 ,
DAC,112.90,10/21/24,$3.20 ,$29.3700 ,"$3,661 ",$0 ,$0 ,$645 , 19.42 ,$155.3038 ,72.70%,$155.30,72.70%,2.83%,$587.40 ,$440.55 ,3.84 ,BUY
KSS,12.26,10/22/24,$2.00 ,$2.5500 ,"$14,009 ",$0 ,$0 ,"$10,116 ", 111.00 ,$35.0721 ,34.96%,$35.07,34.96%,16.31%,$51.00 ,$38.25 ,4.81 ,
C,108.22,10/14/24,$2.24 ,$4.2000 ,"$2,411,834 ","$20,098 ","$10,810 ","$2,206,381 "," 1,903.00 ",$107.9627 ,100.24%,$91.72,117.99%,2.07%,$84.00 ,$63.00 ,25.77 ,BUY
CMRE,16.75,10/14/24,$0.46 ,$2.0400 ,"$5,287 ",$0 ,$0 ,"$2,904 ", 118.00 ,$20.1949 ,82.94%,$20.19,82.94%,2.75%,$40.80 ,$30.60 ,8.21 ,BUY
ZEUS,0.12,10/22/24,$0.60 ,$3.1000 ,$985 ,$52 ,$93 ,$429 , 11.13 ,$49.9551 ,0.24%,$36.93,0.32%,500.00%,$62.00 ,$46.50 ,0.04 ,
MOS,28.50,10/14/24,$0.84 ,$4.6400 ,"$23,033 ","$1,139 ",$0 ,"$11,743 ", 324.00 ,$34.8457 ,81.79%,$31.33,90.97%,2.95%,$92.80 ,$69.60 ,6.14 ,BUY
